time,Volume,Vol Snow,Vol Black Ice,Vol White Ice,Tot Inflow Vol,Tot Outflow Vol,Overflow Vol,Evaporation,Rain,Snowfall,Lake Level,Surface Area,Black Ice,Snow Height,Snow Density,White Ice,Albedo,Max Temp,Min Temp,Surface Temp,Daily Qsw,Daily Qe,Daily Qh,Daily Qlw,Light,Benthic Light,H_s,L,T,LakeNumber,Max dT/dz,CD
2016-07-01 24:00:00,315934.299768,    0.000000, 5989.357209,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    9.249571,118787.109532,    0.054985,    0.000000,    0.000000,    0.000000,    0.179713,    3.984363,    1.271794,    1.271794,    0.000000,    0.000000,82251.452759,-2620849509739.061523,    0.000000,  100.000000,    0.000000,    0.000000,    0.000000,    5.770077,    0.082008,-9999.000000
2016-07-02 24:00:00,322007.299887,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    9.299999,119880.896691,    0.000000,    0.000000,    0.000000,    0.000000,    0.060001,    3.921422,    3.921422,    3.921422,29402057868.062603,    0.000000,238765620039.737823,304131663956.113342,    0.000000,  100.000000,    0.028878,    0.673647,    0.656858,    0.000000,    0.056814,-9999.000000
2016-07-03 24:00:00,322007.299887,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    9.299999,119880.896691,    0.000000,    0.000000,    0.000000,    0.000000,    0.060007,    7.042982,    3.981688,    7.042982,62908994740.319748,    0.000000,685778740483.984741,494442665476.038086,    0.000000,  100.000000,    0.028878,    0.673647,    0.656858,    0.111501,    0.191085,-9999.000000
2016-07-04 24:00:00,322007.299887,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    9.299999,119880.896691,    0.000000,    0.000000,    0.000000,    0.000000,    0.060019,    8.774459,    3.981731,    8.774459,62176500583.770752,    0.000000,352729268723.836914,248689054923.974670,    0.000000,  100.000000,    0.015682,    0.380891,    0.493919,  133.653492,    0.191085,-9999.000000
2016-07-05 24:00:00,322007.299887,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    9.299999,119880.896691,    0.000000,    0.000000,    0.000000,    0.000000,    0.060036,   10.527737,    3.981756,   10.527737,46168648452.983574,    0.000000,343431729062.733826,219447837246.420593,   17.535023,  100.000000,    0.028878,    0.673647,    0.656858,  225.651372,    0.191085,-9999.000000
2016-07-06 24:00:00,322007.299887,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    9.299999,119880.896691,    0.000000,    0.000000,    0.000000,    0.000000,    0.060060,   12.027901,    3.981797,   12.027901,78758307333.665298,    0.000000,380481541225.358337,170561761770.298676,   18.639951,  100.000000,    0.015682,    0.380891,    0.493919,    2.030269,    0.191085,-9999.000000
2016-07-07 24:00:00,322007.299887,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    9.299999,119880.896691,    0.000000,    0.000000,    0.000000,    0.000000,    0.060090,   13.057308,    3.981850,   13.057308,78355206914.197998,    0.000000,281417474383.672791,52152152446.890671,   16.718187,  100.000000,    0.035794,    0.819148,    0.724330,  460.064056,    0.191085,-9999.000000
2016-07-08 24:00:00,322007.299887,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    9.299999,119880.896691,    0.000000,    0.000000,    0.000000,    0.000000,    0.060125,   10.178943,    3.981877,   10.178943,54148087865.417839,    0.000000,393900096545.739441,214583813516.882416,   16.605710,  100.000000,    0.035794,    0.819148,    0.724330,    0.779035,    0.134043,-9999.000000
2016-07-09 24:00:00,322007.299887,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    9.299999,119880.896691,    0.000000,    0.000000,    0.000000,    0.000000,    0.060166,   11.665292,    3.981913,   11.665292,68218035237.004700,    0.000000,389903915860.755188,125476143927.937714,   17.572068,  100.000000,    0.015682,    0.380891,    0.493919,  646.364823,    0.134043,-9999.000000
2016-07-10 24:00:00,322007.299887,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    9.299999,119880.896691,    0.000000,    0.000000,    0.000000,    0.000000,    0.060214,   13.101055,    3.981966,   13.101055,80215365820.475739,    0.000000,330185505642.804321,127734300508.138153,   16.617301,  100.000000,    0.015682,    0.380891,    0.493919,    4.220560,    0.134043,-9999.000000
